date,iron_feed,silica_feed,starch_flow,amina_flow,pulp_flow,pulp_pH,pulp_density,airflow_col1,airflow_col2,airflow_col3,airflow_col4,airflow_col5,airflow_col6,airflow_col7,level_col1,level_col2,level_col3,level_col4,level_col5,level_col6,level_col7,iron_conc,silica_conc
2017-03-10 01:00:00,55.2,16.98,323.2770977011494,578.7866781609196,398.75336781609195,10.113620689655173,1.7295977011494252,251.1666724137931,250.22608620689655,250.17828735632182,295.096,306.4,251.23252873563217,250.20818390804598,450.383775862069,446.89185057471263,450.4745229885057,449.9122586206896,455.7921609195402,464.3833103448276,450.5327471264368,66.91,1.31
2017-03-10 02:00:00,55.2,16.98,313.0710457142857,537.5279885714285,399.93708,10.129199999999999,1.6679428571428572,249.8682457142857,250.19114857142858,250.05547428571427,295.096,306.4,249.90551428571428,249.90705714285716,449.4015314285714,450.9099942857143,449.8866285714286,450.0983142857143,448.93706857142854,455.56405714285717,452.1662914285714,67.06,1.11
2017-03-10 03:00:00,55.2,16.98,347.94829444444446,591.9067444444444,398.76380555555556,10.048444444444444,1.733,250.16132777777776,250.10416666666666,250.04635000000002,295.096,306.4,250.2421611111111,250.48418333333333,449.9728777777778,450.8687111111111,450.90182222222217,451.14582222222225,451.13418888888884,459.9813111111111,450.29672222222223,66.97,1.27
2017-03-10 04:00:00,55.2,16.98,334.80374404761903,592.637869047619,399.8768452380952,9.922440476190477,1.7301785714285716,250.15191666666664,250.02310714285713,250.13411904761904,295.096,306.4,249.69718452380954,250.19429761904763,484.31023809523805,488.2597083333333,483.5745654761905,491.22788095238093,491.7545119047619,499.81432738095236,491.06625,66.75,1.36
2017-03-10 05:00:00,55.199999999999996,16.98,341.2737118644068,619.7199548022598,399.69653672316383,9.746158192090395,1.7658192090395481,249.9319661016949,250.10162146892657,250.00309604519776,295.096,306.4,250.23990960451977,250.06889830508476,549.0656836158192,549.84202259887,549.5542542372882,549.8572824858757,549.3447401129944,560.6819830508474,550.420395480226,66.63,1.34
2017-03-10 06:00:00,55.2,16.98,340.65369662921347,621.7543146067416,399.7805393258427,9.89376404494382,1.7651123595505618,249.875,250.11696629213483,250.07290449438202,295.096,306.4,249.93821348314606,250.15625842696628,550.5320842696628,549.9508146067416,549.1297528089888,549.5526629213483,549.2441629213483,561.3483370786516,551.0755224719101,66.85,1.15
2017-03-10 07:00:00,54.95,17.4,327.58361142857143,618.11812,400.41646285714285,10.17977142857143,1.7650857142857141,250.37322285714285,250.27161714285717,250.07953714285716,295.096,306.4,250.05414285714284,250.0319257142857,549.4083885714285,550.8049428571429,551.1031485714286,550.3677714285715,549.7979771428571,569.9617085714285,550.93504,65.76,2.76
2017-03-10 08:00:00,54.95,17.4,346.10089714285715,595.8015485714285,400.1270914285714,10.180914285714286,1.7663428571428572,249.83337714285713,250.21224,250.02484,295.096,306.4,250.1894742857143,250.02875428571429,550.34692,550.0232285714286,549.2759142857143,549.6715942857143,548.4136171428571,567.8922514285714,550.3393085714285,65.89,2.65
2017-03-10 09:00:00,54.95,17.4,378.1136534090909,592.4368011363636,400.2325795454545,9.939886363636363,1.76,250.0596306818182,249.96275568181818,250.00619886363637,295.096,306.4,250.1627784090909,250.05302272727275,549.7937556818182,549.3291931818181,550.3476875,551.4064715909091,549.1866704545455,563.2190965909091,550.1658693181818,66.68,1.7300000000000002
2017-03-10 10:00:00,54.949999999999996,17.4,342.55198837209304,582.9826279069767,399.83547674418605,10.104127906976744,1.7611046511627908,250.1374534883721,249.97197674418604,250.02133139534885,295.096,306.4,250.09522674418605,249.94641279069768,550.0101627906977,549.391773255814,549.4701162790698,548.1055,546.8327441860465,556.554726744186,549.3155872093023,66.52,1.81
